deposit_title,deposit_type,deposit_doi,deposit_url,kinds,match_method,match_score,parent_doi,parent_title,parent_year
Appendix A. Description of animal mutualists and antagonists included in the study.,dataset,10.6084/m9.figshare.3562782,https://doi.org/10.6084/m9.figshare.3562782,data,datacite:IsSupplementTo,1.00,10.1890/14-2467.1,Hotspots of damage by antagonists shape the spatial structure of plant–pollinator interactions,2015
Appendix A. Species codes and identities.,dataset,10.6084/m9.figshare.3544478,https://doi.org/10.6084/m9.figshare.3544478,data,datacite:IsSupplementTo,1.00,10.1890/08-1883.1,Changes of a mutualistic network over time: reanalysis over a 10‐year period,2010
Appendix A. Variation in the number of interactions observed at different timescale resolutions.,dataset,10.6084/m9.figshare.3531533,https://doi.org/10.6084/m9.figshare.3531533,data,datacite:IsSupplementTo,1.00,10.1890/07-1939.1,The temporal dynamics of resource use by frugivorous birds: a network approach,2009
Appendix B. Description of the study site and the replicate patches.,dataset,10.6084/m9.figshare.3562779,https://doi.org/10.6084/m9.figshare.3562779,data,datacite:IsSupplementTo,1.00,10.1890/14-2467.1,Hotspots of damage by antagonists shape the spatial structure of plant–pollinator interactions,2015
Appendix B. Dissimilarity dendrograms for ant species in Networks 1990 and 2000.,dataset,10.6084/m9.figshare.3544475,https://doi.org/10.6084/m9.figshare.3544475,data,datacite:IsSupplementTo,1.00,10.1890/08-1883.1,Changes of a mutualistic network over time: reanalysis over a 10‐year period,2010
Appendix B. Switching behavior classification.,dataset,10.6084/m9.figshare.3531530,https://doi.org/10.6084/m9.figshare.3531530,data,datacite:IsSupplementTo,1.00,10.1890/07-1939.1,The temporal dynamics of resource use by frugivorous birds: a network approach,2009
Appendix C. Description of the methodology used to estimate plant characteristics.,dataset,10.6084/m9.figshare.3562776,https://doi.org/10.6084/m9.figshare.3562776,data,datacite:IsSupplementTo,1.00,10.1890/14-2467.1,Hotspots of damage by antagonists shape the spatial structure of plant–pollinator interactions,2015
Appendix C. Dissimilarity dendrograms for plant species for Networks 1990 and 2000.,dataset,10.6084/m9.figshare.3544472,https://doi.org/10.6084/m9.figshare.3544472,data,datacite:IsSupplementTo,1.00,10.1890/08-1883.1,Changes of a mutualistic network over time: reanalysis over a 10‐year period,2010
Appendix C. Temporal changes in network structure during 1981–1983.,dataset,10.6084/m9.figshare.3531524,https://doi.org/10.6084/m9.figshare.3531524,data,datacite:IsSupplementTo,1.00,10.1890/07-1939.1,The temporal dynamics of resource use by frugivorous birds: a network approach,2009
"Appendix D. Description of the methodology used to estimate the proportion of viable seeds consumed per fruit by predispersal seed predators, plus a table containing the estimated interaction strengths per animal guild.",dataset,10.6084/m9.figshare.3562773,https://doi.org/10.6084/m9.figshare.3562773,data,datacite:IsSupplementTo,1.00,10.1890/14-2467.1,Hotspots of damage by antagonists shape the spatial structure of plant–pollinator interactions,2015
Appendix D. Test effects for nine morphological variables predicting the variation in the proportion of fruits in the diet.,dataset,10.6084/m9.figshare.3531521,https://doi.org/10.6084/m9.figshare.3531521,data,datacite:IsSupplementTo,1.00,10.1890/07-1939.1,The temporal dynamics of resource use by frugivorous birds: a network approach,2009
"Appendix E. Detailed description of spatial point pattern analyses, plus additional results from univariate and bivariate analyses of plant–animal interaction strengths and plant characteristics.",dataset,10.6084/m9.figshare.3562767,https://doi.org/10.6084/m9.figshare.3562767,data,datacite:IsSupplementTo,1.00,10.1890/14-2467.1,Hotspots of damage by antagonists shape the spatial structure of plant–pollinator interactions,2015
