title,authors,author_count,year,publication_date,journal,publisher,type,is_oa,doi,doi_url,pdf_url,openalex_id,pmid,cited_by_count
"Resolution of Respect Eugene “Geno” Wallace Schupp (1952–2026) Seed dispersal ecologist, restoration scientist, mentor","Pedro Jordano, José María Gómez",2,2026,2026-08-25,Bulletin of the Ecological Society of America,Ecological Society of America,article,True,https://doi.org/10.1002/bes2.70097,https://doi.org/10.1002/bes2.70097,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bes2.70097,https://openalex.org/W7204211684,,0
"Mutualistic networks emerge from the interplay of abundance, behaviour and spatial constraints","Blanca Arroyo‐Correa, Ígnasi Bartomeus, Pedro Jordano et al.",5,2026,2026-08-04,Journal of Animal Ecology,Wiley,article,True,https://doi.org/10.1111/1365-2656.70324,https://doi.org/10.1111/1365-2656.70324,https://repositorio.comillas.edu/bitstreams/7308141c-cd06-4469-b723-5ccab91c3aab/download,https://openalex.org/W7172501010,https://pubmed.ncbi.nlm.nih.gov/42552824,0
Reorganization without disruption: How fire‐driven spatiotemporal changes in floral resource landscapes influence plant–bee interaction networks,"Caio S. Ballarin, Elena Quintero, Jorge Isla et al.",5,2026,2026-07-31,Journal of Applied Ecology,Wiley,article,True,https://doi.org/10.1111/1365-2664.70519,https://doi.org/10.1111/1365-2664.70519,https://doi.org/10.1111/1365-2664.70519,https://openalex.org/W7172032044,,0
Optimising daily sampling of plant–bee interaction networks,"Caio S. Ballarin, Jorge Isla, Blanca Arroyo‐Correa et al.",7,2026,2026-07-15,Journal of Animal Ecology,Wiley,article,True,https://doi.org/10.1111/1365-2656.70309,https://doi.org/10.1111/1365-2656.70309,https://doi.org/10.1111/1365-2656.70309,https://openalex.org/W7168349102,https://pubmed.ncbi.nlm.nih.gov/42454659,0
The Ecological Interactome: Understanding Biodiversity Through Patterns of Interactions,Pedro Jordano,1,2026,2026-06-22,Annual Review of Ecology Evolution and Systematics,Annual Reviews,article,False,https://doi.org/10.1146/annurev-ecolsys-102824-110132,https://doi.org/10.1146/annurev-ecolsys-102824-110132,,https://openalex.org/W7165569942,,0
Defaunation reshapes the distribution of biomass of tropical wild mammals,"Iago Ferreiro Arias, Martin Philippe-Lesaffre, Luca Santini et al.",8,2026,2026-06-09,Research Square,,preprint,True,https://doi.org/10.21203/rs.3.rs-9644263/v1,https://doi.org/10.21203/rs.3.rs-9644263/v1,https://doi.org/10.21203/rs.3.rs-9644263/v1,https://openalex.org/W7164051013,,0
Species loss alters the mesoscale structure of mutualistic networks,"M. Florencia Miguel, Pedro Jordano, Laura A. Burkle et al.",5,2026,2026-05-22,Journal of Animal Ecology,Wiley,article,False,https://doi.org/10.1111/1365-2656.70280,https://doi.org/10.1111/1365-2656.70280,,https://openalex.org/W7162190302,https://pubmed.ncbi.nlm.nih.gov/42175561,0
Fire modulates the structural drivers and functioning of individual‐based plant‐pollinator networks,"Larissa Alves-de-Lima, Diego Anjos, Blanca Arroyo‐Correa et al.",6,2026,2026-05-01,Journal of Ecology,Wiley,article,True,https://doi.org/10.1111/1365-2745.70348,https://doi.org/10.1111/1365-2745.70348,https://doi.org/10.1111/1365-2745.70348,https://openalex.org/W7161280795,,0
"The biodiversity of plant–frugivore interactions: types, functions and consequences",Pedro Jordano,1,2026,2026-04-29,Oikos,Wiley,article,True,https://doi.org/10.1002/oik.11991,https://doi.org/10.1002/oik.11991,https://www.biorxiv.org/content/biorxiv/early/2025/11/14/2025.11.14.688423.full.pdf,https://openalex.org/W4416294080,,0
"Data from: The biodiversity of plant-frugivore interactions: types, functions, and consequences",Pedro Jordano,1,2026,2026-04-10,Zenodo (CERN European Organization for Nuclear Research),European Organization for Nuclear Research,other,True,https://doi.org/10.5281/zenodo.19482637,https://doi.org/10.5281/zenodo.19482637,https://doi.org/10.5281/zenodo.19482637,https://openalex.org/W7152961901,,0
Season over plant sex: drivers of leaf damage and plant defence in a dioecious Mediterranean shrub,"Elena Valdés‐Correcher, Gemma Calvo, Cristina Rigueiro et al.",6,2025,2025-09-15,Plant Biology,Wiley,article,True,https://doi.org/10.1111/plb.70115,https://doi.org/10.1111/plb.70115,https://doi.org/10.1111/plb.70115,https://openalex.org/W4414257511,https://pubmed.ncbi.nlm.nih.gov/40954094,1
Bridging the gap between individual specialization and species persistence in mutualistic communities,"Blanca Arroyo‐Correa, Ígnasi Bartomeus, Pedro Jordano et al.",5,2025,2025-08-01,Ecological Monographs,Wiley,article,True,https://doi.org/10.1002/ecm.70031,https://doi.org/10.1002/ecm.70031,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecm.70031,https://openalex.org/W4414733271,,2
Seed co-occurrence caused by shared frugivores leaves a long-lasting signal in the spatial co-occurrence among plants.,"Antonio J. Perea, Elena Quintero, Jorge Isla et al.",9,2025,2025-07-15,,,preprint,True,https://doi.org/10.22541/au.175259887.75717703/v1,https://doi.org/10.22541/au.175259887.75717703/v1,https://www.authorea.com/doi/pdf/10.22541/au.175259887.75717703,https://openalex.org/W4412431028,,0
A bird song detector for improving bird identification through deep learning: A case study from Doñana,"Alba Márquez‐Rodríguez, Miguel A. Mohedano-Muñoz, Manuel J. Marín‐Jiménez et al.",7,2025,2025-07-02,Ecological Informatics,Elsevier BV,article,True,https://doi.org/10.1016/j.ecoinf.2025.103254,https://doi.org/10.1016/j.ecoinf.2025.103254,https://doi.org/10.1016/j.ecoinf.2025.103254,https://openalex.org/W4411957310,,9
"Spatial occupancy patterns of the nursery pollinator Derelomus chamaeropsis at its host plant, Chamaerops humilis (Arecaceae)","Miguel Moreno, Miguel E. Jácome‐Flores, Pedro Jordano et al.",5,2025,2025-03-30,Journal of Pollination Ecology,Enviroquest Ltd.,article,True,https://doi.org/10.26786/1920-7603(2025)829,https://doi.org/10.26786/1920-7603(2025)829,https://doi.org/10.26786/1920-7603(2025)829,https://openalex.org/W4408972022,,0
A Machine Learning Application to Camera-Traps: Robust Species Interactions Datasets for Analysis of Mutualistic Networks,"Pablo Villalva, Pedro Jordano",2,2025,2025-03-07,bioRxiv (Cold Spring Harbor Laboratory),Cold Spring Harbor Laboratory,preprint,True,https://doi.org/10.1101/2025.03.01.640990,https://doi.org/10.1101/2025.03.01.640990,https://doi.org/10.1101/2025.03.01.640990,https://openalex.org/W4408224672,,3
Downscaling mutualistic networks from species to individuals reveals consistent interaction niches and roles within plant populations,"Elena Quintero, Blanca Arroyo‐Correa, Jorge Isla et al.",5,2025,2025-02-12,Proceedings of the National Academy of Sciences,National Academy of Sciences,article,True,https://doi.org/10.1073/pnas.2402342122,https://doi.org/10.1073/pnas.2402342122,https://www.pnas.org/doi/pdf/10.1073/pnas.2402342122,https://openalex.org/W4407402898,https://pubmed.ncbi.nlm.nih.gov/39937855,15
Fleshy‐Fruit Consumption in Doñana,"Pablo Villalva, Elena Quintero, Jorge Isla et al.",4,2024,2024-11-25,Bulletin of the Ecological Society of America,Ecological Society of America,article,True,https://doi.org/10.1002/bes2.2197,https://doi.org/10.1002/bes2.2197,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bes2.2197,https://openalex.org/W4404683820,,2
Integrating intraspecific variation into population dynamics reveals how interacting species persist in mutualistic communities,"Blanca Arroyo‐Correa, Ígnasi Bartomeus, Pedro Jordano et al.",5,2024,2024-09-17,bioRxiv (Cold Spring Harbor Laboratory),Cold Spring Harbor Laboratory,preprint,True,https://doi.org/10.1101/2024.09.12.612448,https://doi.org/10.1101/2024.09.12.612448,https://doi.org/10.1101/2024.09.12.612448,https://openalex.org/W4402616714,,3
FRUGIVORY CAMTRAP : A dataset of plant–animal interactions recorded with camera traps,"Pablo Villalva, Blanca Arroyo‐Correa, Gemma Calvo et al.",10,2024,2024-09-16,Ecology,Wiley,article,True,https://doi.org/10.1002/ecy.4424,https://doi.org/10.1002/ecy.4424,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecy.4424,https://openalex.org/W4402568822,https://pubmed.ncbi.nlm.nih.gov/39284796,11
Flowering synchrony modulates pollinator sharing and places plant individuals along a competition–facilitation continuum,"Blanca Arroyo‐Correa, Ígnasi Bartomeus, Pedro Jordano",3,2024,2024-02-27,Oikos,Wiley,article,True,https://doi.org/10.1111/oik.10477,https://doi.org/10.1111/oik.10477,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/oik.10477,https://openalex.org/W4392198513,,15
Animal‐mediated seed dispersal and the demo‐genetic configuration across plant colonization gradients,"Jorge Isla, Miguel E. Jácome‐Flores, Cristina Rigueiro et al.",6,2024,2024-02-19,Journal of Ecology,Wiley,article,False,https://doi.org/10.1111/1365-2745.14280,https://doi.org/10.1111/1365-2745.14280,,https://openalex.org/W4391941361,,15
Highly clustered mating networks in naturally fragmented riparian tree populations,"Eva Moracho, Etienne K. Klein, Sylvie Oddou‐Muratorio et al.",5,2024,2024-01-30,Molecular Ecology,Wiley,article,True,https://doi.org/10.1111/mec.17285,https://doi.org/10.1111/mec.17285,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mec.17285,https://openalex.org/W4391353431,https://pubmed.ncbi.nlm.nih.gov/38288563,2
"Author response for ""Animal‐mediated seed dispersal and the demo‐genetic configuration across plant colonization gradients""","Jorge Isla, Miguel E. Jácome‐Flores, Cristina Rigueiro et al.",6,2024,2024-01-22,,,peer-review,False,https://doi.org/10.1111/1365-2745.14280/v2/response1,https://doi.org/10.1111/1365-2745.14280/v2/response1,,https://openalex.org/W4391953338,,0
Lasting effects of avian‐frugivore interactions on seed dispersal and seedling establishment,"Elena Quintero, Juan Arroyo, Rodolfo Dirzo et al.",5,2024,2024-01-21,Journal of Ecology,Wiley,article,True,https://doi.org/10.1111/1365-2745.14260,https://doi.org/10.1111/1365-2745.14260,https://doi.org/10.1111/1365-2745.14260,https://openalex.org/W4391108877,,19
"Author response for ""Lasting effects of avian‐frugivore interactions on seed dispersal and seedling establishment""","Elena Quintero, Juan Arroyo, Rodolfo Dirzo et al.",5,2023,2023-11-21,,,peer-review,False,https://doi.org/10.1111/1365-2745.14260/v2/response1,https://doi.org/10.1111/1365-2745.14260/v2/response1,,https://openalex.org/W4391128224,,0
