group,file,web_w,web_h,archive_match,archive_w,archive_h,scale,outcome
art,art-001.jpg,500,226,/Users/pedro/Pictures/Illustrations_stored/people/hal8.jpg,121,55,0.24,same-size copy in archive
art,art-002.jpg,425,216,,,,,not in accessible archives
art,art-003.jpg,453,377,,,,,not in accessible archives
art,art-004.jpg,425,271,,,,,not in accessible archives
art,art-005.jpg,98,140,,,,,not in accessible archives
art,art-006.jpg,500,375,/Users/pedro/Pictures/Illustrations_stored/thelab/l32.jpg,600,450,1.20,same-size copy in archive
art,art-007.jpg,468,308,,,,,not in accessible archives
art,art-008.jpg,350,255,,,,,not in accessible archives
art,art-009.jpg,380,396,,,,,not in accessible archives
art,art-010.jpg,380,209,,,,,not in accessible archives
art,art-011.jpg,335,420,,,,,not in accessible archives
art,art-012.jpg,164,480,,,,,not in accessible archives
art,art-013.jpg,380,311,,,,,not in accessible archives
art,art-014.jpg,320,286,,,,,not in accessible archives
art,art-015.jpg,131,200,,,,,not in accessible archives
art,art-016.jpg,500,323,,,,,not in accessible archives
art,art-017.jpg,500,375,,,,,not in accessible archives
art,art-018.jpg,321,480,,,,,not in accessible archives
art,art-019.jpg,500,333,,,,,not in accessible archives
art,art-020.jpg,500,240,,,,,not in accessible archives
art,art-021.jpg,500,395,,,,,not in accessible archives
art,art-022.jpg,500,375,,,,,not in accessible archives
art,art-023.jpg,312,135,,,,,not in accessible archives
art,art-024.jpg,500,333,,,,,not in accessible archives
art,art-025.jpg,500,333,,,,,not in accessible archives
art,art-026.jpg,500,333,,,,,not in accessible archives
art,art-027.jpg,500,333,,,,,not in accessible archives
art,art-028.jpg,300,281,,,,,not in accessible archives
art,art-029.jpg,500,365,,,,,not in accessible archives
art,art-030.jpg,500,342,,,,,not in accessible archives
art,art-031.jpg,500,370,,,,,not in accessible archives
art,art-032.jpg,500,401,,,,,not in accessible archives
art,art-033.jpg,452,480,,,,,not in accessible archives
art,art-034.jpg,400,252,,,,,not in accessible archives
art,art-035.jpg,440,480,,,,,not in accessible archives
art,art-036.jpg,500,339,,,,,not in accessible archives
art,art-037.jpg,450,293,,,,,not in accessible archives
art,art-038.jpg,450,199,,,,,not in accessible archives
art,art-039.jpg,450,197,,,,,not in accessible archives
art,art-040.jpg,450,207,,,,,not in accessible archives
art,art-041.jpg,450,217,,,,,not in accessible archives
art,equipo57-001.jpg,289,292,,,,,not in accessible archives
art,equipo57-002.jpg,289,290,,,,,not in accessible archives
art,equipo57-003.jpg,289,290,,,,,not in accessible archives
art,equipo57-004.jpg,289,292,,,,,not in accessible archives
art,equipo57-005.jpg,342,258,,,,,not in accessible archives
art,equipo57-006.jpg,289,290,,,,,not in accessible archives
art,equipo57-007.jpg,289,292,,,,,not in accessible archives
art,equipo57-008.jpg,288,290,,,,,not in accessible archives
art,equipo57-009.jpg,289,290,,,,,not in accessible archives
art,equipo57-010.jpg,289,289,,,,,not in accessible archives
birds,birds-001.jpg,311,208,,,,,not in accessible archives
birds,birds-002.jpg,311,208,,,,,not in accessible archives
birds,birds-003.jpg,311,208,,,,,not in accessible archives
birds,birds-004.jpg,311,208,,,,,not in accessible archives
birds,birds-005.jpg,311,208,,,,,not in accessible archives
birds,birds-006.jpg,311,208,,,,,not in accessible archives
birds,birds-007.jpg,311,208,,,,,not in accessible archives
birds,birds-008.jpg,1024,683,/Users/pedro/Pictures/Birds.pxvlibrary/Masters/2017/5/27/A366CD30-F28A-41BD-91BD-76498422E358.pxvitem/Originals/Canastera_Glareola pratincola4.jpg,1024,683,1.00,replaced with larger original
birds,birds-009.jpg,208,311,,,,,not in accessible archives
birds,birds-010.jpg,311,208,,,,,not in accessible archives
birds,birds-011.jpg,311,208,,,,,not in accessible archives
birds,birds-012.jpg,311,208,,,,,not in accessible archives
birds,birds-013.jpg,311,208,,,,,not in accessible archives
birds,birds-014.jpg,311,176,,,,,not in accessible archives
birds,birds-015.jpg,311,176,,,,,not in accessible archives
birds,birds-016.jpg,311,176,,,,,not in accessible archives
birds,birds-017.jpg,311,176,,,,,not in accessible archives
birds,birds-018.jpg,311,176,,,,,not in accessible archives
birds,birds-019.jpg,311,176,,,,,not in accessible archives
birds,birds-020.jpg,311,176,,,,,not in accessible archives
birds,birds-021.jpg,311,176,,,,,not in accessible archives
birds,birds-022.jpg,311,208,,,,,not in accessible archives
birds,birds-023.jpg,311,176,,,,,not in accessible archives
birds,birds-024.jpg,311,208,,,,,not in accessible archives
birds,birds-025.jpg,311,176,,,,,not in accessible archives
birds,birds-026.jpg,311,208,,,,,not in accessible archives
birds,birds-027.jpg,208,311,,,,,not in accessible archives
birds,birds-028.jpg,311,208,,,,,not in accessible archives
birds,birds-029.jpg,311,208,,,,,not in accessible archives
birds,birds-030.jpg,311,176,,,,,not in accessible archives
birds,birds-031.jpg,311,208,,,,,not in accessible archives
birds,birds-032.jpg,311,208,,,,,not in accessible archives
birds,birds-033.jpg,311,208,,,,,not in accessible archives
brazil,brazil-001.jpg,500,375,,,,,not in accessible archives
brazil,brazil-002.jpg,500,375,,,,,not in accessible archives
brazil,brazil-003.jpg,500,375,,,,,not in accessible archives
brazil,brazil-004.jpg,500,375,,,,,not in accessible archives
brazil,brazil-005.jpg,500,375,,,,,not in accessible archives
brazil,brazil-006.jpg,500,375,,,,,not in accessible archives
brazil,cardoso-001.jpg,476,480,,,,,not in accessible archives
brazil,cardoso-002.jpg,500,375,,,,,not in accessible archives
