category,slug,title,year,journal,doi,citations,openalex,closest_bib_title,closest_score
appendix / supplement,supplementary-material-from-species-area-and-network-area-relationships-in-hosth,"Supplementary material from ""Species-area and network-area relationships in host–helminth interactions",2021,Figshare,10.6084/m9.figshare.c.5345000.v2,0,W3185171428,species area and network area relationships in hosthelminth interactions,0.837
appendix / supplement,supplementary-material-from-seed-dispersal-by-dispersing-juvenile-animals-a-sour,"Supplementary material from ""Seed dispersal by dispersing juvenile animals: a source of functional connectivity in fragmented landscapes",2019,Figshare,10.6084/m9.figshare.c.4551821.v1,1,W2951481335,seed dispersal by dispersing juvenile animals a source of functional connectivity in fragm,0.883
appendix / supplement,appendix-a-description-of-animal-mutualists-and-antagonists-included-in-the-stud,Appendix A. Description of animal mutualists and antagonists included in the study.,2016,Figshare,10.6084/m9.figshare.3562782,0,W4394438032,,
appendix / supplement,appendix-a-species-codes-and-identities,Appendix A. Species codes and identities.,2016,Figshare,10.6084/m9.figshare.3544478,0,W4394087933,,
appendix / supplement,appendix-a-variation-in-the-number-of-interactions-observed-at-different-timesca,Appendix A. Variation in the number of interactions observed at different timescale resolutions.,2016,Figshare,10.6084/m9.figshare.3531533,0,W4394098018,,
appendix / supplement,appendix-b-description-of-the-study-site-and-the-replicate-patches,Appendix B. Description of the study site and the replicate patches.,2016,Figshare,10.6084/m9.figshare.3562779,0,W4394467570,,
appendix / supplement,appendix-b-dissimilarity-dendrograms-for-ant-species-in-networks-1990-and-2000,Appendix B. Dissimilarity dendrograms for ant species in Networks 1990 and 2000.,2016,Figshare,10.6084/m9.figshare.3544475,0,W4394229500,,
appendix / supplement,appendix-b-switching-behavior-classification,Appendix B. Switching behavior classification.,2016,Figshare,10.6084/m9.figshare.3531530,0,W4394359746,,
appendix / supplement,appendix-c-description-of-the-methodology-used-to-estimate-plant-characteristics,Appendix C. Description of the methodology used to estimate plant characteristics.,2016,Figshare,10.6084/m9.figshare.3562776,0,W4394275708,,
appendix / supplement,appendix-c-dissimilarity-dendrograms-for-plant-species-for-networks-1990-and-200,Appendix C. Dissimilarity dendrograms for plant species for Networks 1990 and 2000.,2016,Figshare,10.6084/m9.figshare.3544472,0,W4394498099,,
appendix / supplement,appendix-c-temporal-changes-in-network-structure-during-19811983,Appendix C. Temporal changes in network structure during 1981–1983.,2016,Figshare,10.6084/m9.figshare.3531524,0,W4394264986,,
appendix / supplement,appendix-d-description-of-the-methodology-used-to-estimate-the-proportion-of-via,"Appendix D. Description of the methodology used to estimate the proportion of viable seeds consumed per fruit by predispersal seed predators, plus a table containing the estimated interaction strengths per animal guild.",2016,Figshare,10.6084/m9.figshare.3562773,0,W4394327293,,
appendix / supplement,appendix-d-test-effects-for-nine-morphological-variables-predicting-the-variatio,Appendix D. Test effects for nine morphological variables predicting the variation in the proportion of fruits in the diet.,2016,Figshare,10.6084/m9.figshare.3531521,0,W4394278748,,
appendix / supplement,appendix-e-detailed-description-of-spatial-point-pattern-analyses-plus-additiona,"Appendix E. Detailed description of spatial point pattern analyses, plus additional results from univariate and bivariate analyses of plant–animal interaction strengths and plant characteristics.",2016,Figshare,10.6084/m9.figshare.3562767,0,W4394525037,,
appendix / supplement,appendix-e-values-and-significance-of-the-statistic-k-for-the-variables-under-st,Appendix E. Values and significance of the statistic K for the variables under study.,2016,Figshare,10.6084/m9.figshare.3531518,0,W4394105793,,
appendix / supplement,appendix-f-further-details-on-methods-and-results-from-generalized-linear-mixed-,Appendix F. Further details on methods and results from generalized linear mixed-effects models.,2016,Figshare,10.6084/m9.figshare.3562764,0,W4394497817,,
appendix / supplement,appendix-g-description-of-the-methodology-used-to-estimate-the-length-of-interpl,"Appendix G. Description of the methodology used to estimate the length of interplant flights by bird pollinators, and results obtained per bird species.",2016,Figshare,10.6084/m9.figshare.3562761,0,W4394101996,,
appendix / supplement,supplement-1-matlab-code-used-in-the-calculation-of-asymmetry-values,Supplement 1. MATLAB code used in the calculation of asymmetry values.,2016,Figshare,10.6084/m9.figshare.3531515,0,W4394352293,,
appendix / supplement,supplemental-information-code-and-data-for-the-ms-defaunation-impacts-carbon-sto,"Supplemental Information, Code, And Data For The Ms: Defaunation Impacts Carbon Storage In Tropical Forests.",2015,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.31880,0,W2319352831,,
book / chapter,an-introduction-to-complex-networks,An Introduction to Complex Networks,2013,Princeton University Press eBooks,10.23943/princeton/9780691131269.003.0002,2,W4255944264,,
book / chapter,backmatter,Backmatter,2013,Princeton University Press eBooks,10.1515/9781400848720-bm,0,W4231628199,,
book / chapter,biodiversity-and-plant-animal-coevolution,Biodiversity and Plant-Animal Coevolution,2013,Princeton University Press eBooks,10.23943/princeton/9780691131269.003.0001,2,W4243492838,,
book / chapter,consequences-of-network-structure,Consequences of Network Structure,2013,Princeton University Press eBooks,10.23943/princeton/9780691131269.003.0006,0,W4245137580,,
book / chapter,ecological-and-evolutionary-mechanisms,Ecological and Evolutionary Mechanisms,2013,Princeton University Press eBooks,10.23943/princeton/9780691131269.003.0004,0,W4255169839,,
book / chapter,epilogue,Epilogue,2013,Princeton University Press eBooks,10.23943/princeton/9780691131269.003.0007,0,W4237930164,,
book / chapter,frontmatter,Frontmatter,2013,Princeton University Press eBooks,10.1515/9781400848720-fm,0,W4247827327,,
book / chapter,mutualistic-networks-in-time-and-space,Mutualistic Networks in Time and Space,2013,Princeton University Press eBooks,10.23943/princeton/9780691131269.003.0005,1,W4231249823,,
journal article,mutualistic-networks-emerge-from-the-interplay-of-abundance-behaviour-and-spatia,"Mutualistic networks emerge from the interplay of abundance, behaviour and spatial constraints",2026,Journal of Animal Ecology,10.1111/1365-2656.70324,0,W7172501010,,
journal article,reorganization-without-disruption-how-firedriven-spatiotemporal-changes-in-flora,Reorganization without disruption: How fire‐driven spatiotemporal changes in floral resource landscapes influence plant–bee interaction networks,2026,Journal of Applied Ecology,10.1111/1365-2664.70519,0,W7172032044,,
journal article,global-geographic-patterns-in-the-colours-and-sizes-of-animaldispersed-fruits,Global geographic patterns in the colours and sizes of animal‐dispersed fruits,2018,Global Ecology and Biogeography,10.1111/geb.12801,67,W2898264394,,
journal article,correction-to-unravelling-darwins-entangled-bank-architecture-and-robustness-of-,Correction to ‘Unravelling Darwin's entangled bank: architecture and robustness of mutualistic networks with multiple interaction types’,2017,Proceedings of the Royal Society B Biological Sciences,10.1098/rspb.2016.2635,0,W2569592608,unravelling darwins entangled bank architecture and robustness of mutualistic networks wit,0.94
